run_date,region,time,model,n,dry,light,mod,heavy
2026-08-01,수원시권선구,2026-08-01T00:00,ensemble,143,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T00:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T00:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T00:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T00:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T01:00,ensemble,143,0.993,0.007,0,0
2026-08-01,수원시권선구,2026-08-01T01:00,icon_seamless_eps,40,0.975,0.025,0,0
2026-08-01,수원시권선구,2026-08-01T01:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T01:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T01:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T02:00,ensemble,143,0.993,0.007,0,0
2026-08-01,수원시권선구,2026-08-01T02:00,icon_seamless_eps,40,0.975,0.025,0,0
2026-08-01,수원시권선구,2026-08-01T02:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T02:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T02:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T03:00,ensemble,143,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T03:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T03:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T03:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T03:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T04:00,ensemble,143,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T04:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T04:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T04:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T04:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T05:00,ensemble,143,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T05:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T05:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T05:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T05:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T06:00,ensemble,143,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T06:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T06:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T06:00,ecmwf_ifs025_ensemble,51,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T06:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T07:00,ensemble,143,0.601,0.399,0,0
2026-08-01,수원시권선구,2026-08-01T07:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T07:00,ncep_gefs_seamless,31,0.71,0.29,0,0
2026-08-01,수원시권선구,2026-08-01T07:00,ecmwf_ifs025_ensemble,51,0.078,0.922,0,0
2026-08-01,수원시권선구,2026-08-01T07:00,gem_global_ensemble,21,0.952,0.048,0,0
2026-08-01,수원시권선구,2026-08-01T08:00,ensemble,143,0.601,0.399,0,0
2026-08-01,수원시권선구,2026-08-01T08:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T08:00,ncep_gefs_seamless,31,0.71,0.29,0,0
2026-08-01,수원시권선구,2026-08-01T08:00,ecmwf_ifs025_ensemble,51,0.078,0.922,0,0
2026-08-01,수원시권선구,2026-08-01T08:00,gem_global_ensemble,21,0.952,0.048,0,0
2026-08-01,수원시권선구,2026-08-01T09:00,ensemble,143,0.594,0.406,0,0
2026-08-01,수원시권선구,2026-08-01T09:00,icon_seamless_eps,40,0.975,0.025,0,0
2026-08-01,수원시권선구,2026-08-01T09:00,ncep_gefs_seamless,31,0.71,0.29,0,0
2026-08-01,수원시권선구,2026-08-01T09:00,ecmwf_ifs025_ensemble,51,0.078,0.922,0,0
2026-08-01,수원시권선구,2026-08-01T09:00,gem_global_ensemble,21,0.952,0.048,0,0
2026-08-01,수원시권선구,2026-08-01T10:00,ensemble,143,0.503,0.497,0,0
2026-08-01,수원시권선구,2026-08-01T10:00,icon_seamless_eps,40,0.975,0.025,0,0
2026-08-01,수원시권선구,2026-08-01T10:00,ncep_gefs_seamless,31,0.323,0.677,0,0
2026-08-01,수원시권선구,2026-08-01T10:00,ecmwf_ifs025_ensemble,51,0.039,0.961,0,0
2026-08-01,수원시권선구,2026-08-01T10:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T11:00,ensemble,143,0.51,0.49,0,0
2026-08-01,수원시권선구,2026-08-01T11:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T11:00,ncep_gefs_seamless,31,0.323,0.677,0,0
2026-08-01,수원시권선구,2026-08-01T11:00,ecmwf_ifs025_ensemble,51,0.039,0.961,0,0
2026-08-01,수원시권선구,2026-08-01T11:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T12:00,ensemble,143,0.51,0.49,0,0
2026-08-01,수원시권선구,2026-08-01T12:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T12:00,ncep_gefs_seamless,31,0.323,0.677,0,0
2026-08-01,수원시권선구,2026-08-01T12:00,ecmwf_ifs025_ensemble,51,0.039,0.961,0,0
2026-08-01,수원시권선구,2026-08-01T12:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T13:00,ensemble,143,0.811,0.189,0,0
2026-08-01,수원시권선구,2026-08-01T13:00,icon_seamless_eps,40,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T13:00,ncep_gefs_seamless,31,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T13:00,ecmwf_ifs025_ensemble,51,0.471,0.529,0,0
2026-08-01,수원시권선구,2026-08-01T13:00,gem_global_ensemble,21,1,0,0,0
2026-08-01,수원시권선구,2026-08-01T14:00,ensemble,143,0.811,0.189,0,0
